----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  182,    22618.3,     88.061,    1825.831,      0.000,
  183,    23768.3,     89.845,    1789.646,      0.000,
  184,    24975.8,     90.703,    1770.621,      0.000,
  185,    26243.3,     89.929,    1786.813,      0.000,
  186,    27575.8,     90.286,    1776.848,      0.000,
  187,    28975.8,     89.523,    1789.328,      0.000,
  188,    30445.8,     89.862,    1783.905,      0.000,
  189,    31990.8,     90.519,    1768.112,      0.000,
  190,    33613.3,     90.196,    1774.650,      0.000,
  191,    35318.3,     89.712,    1780.724,      0.000,
  192,    37108.3,     89.631,    1782.771,      0.000,
  193,    38990.8,     89.856,    1775.775,      0.000,
  194,    40968.3,     89.522,    1781.649,      0.000,
  195,    43045.8,     89.658,    1777.354,      0.000,
  196,    45228.3,     90.486,    1761.621,      0.000,
  197,    47520.8,     89.541,    1778.732,      0.000,
  198,    49928.3,     90.108,    1766.523,      0.000,
  199,    52458.3,     88.838,    1790.008,      0.000,
  200,    55115.8,     89.753,    1771.274,      0.000,
  201,    57908.3,     90.073,    1766.439,      0.000,
  202,    60843.3,     89.711,    1770.992,      0.000,
  203,    63925.8,     89.147,    1780.483,      0.000,
  204,    67163.3,     90.540,    1755.485,      0.000,
  205,    70565.8,     89.742,    1769.366,      0.000,
  206,    74140.8,     89.956,    1763.935,      0.000,
  207,    77895.8,     90.489,    1754.380,      0.000,
  208,    81840.8,     89.589,    1770.728,      0.000,
  209,    85985.8,     90.084,    1761.721,      0.000,
  210,    90340.8,     90.175,    1757.876,      0.000,
  211,    94915.8,     88.698,    1787.713,      0.000,
  212,    99723.3,     90.451,    1752.525,      0.000,
  213,   104773.3,     89.574,    1769.336,      0.000,
  214,   110078.3,     90.212,    1757.027,      0.000,
  215,   115653.3,     90.764,    1746.411,      0.000,
  216,   121508.3,     89.574,    1770.023,      0.000,
  217,   127660.8,     89.419,    1771.746,      0.000,
  218,   134125.8,     90.476,    1752.432,      0.000,
  219,   140915.8,     89.962,    1760.427,      0.000,
  220,   148050.8,     89.900,    1760.835,      0.000,
  221,   155545.8,     90.347,    1752.701,      0.000,
  222,   163420.8,     89.672,    1766.211,      0.000,
  223,   171695.8,     89.909,    1761.025,      0.000,
  224,   180388.3,     88.332,    1790.519,      0.000,
  225,   189520.8,     88.992,    1778.567,      0.000,
  226,   199115.8,     90.019,    1761.021,      0.000,
  227,   209195.8,     89.307,    1771.609,      0.000,
----,
